id,start,end,maxspeed,junction
l_0,n_id166,n_id5949,20 mph,None
l_1,n_id5949,n_id1130,20 mph,None
l_2,n_id1130,n_id173,20 mph,None
l_3,n_id173,n_id5460,20 mph,None
l_4,n_id5460,n_id165,20 mph,None
l_5,n_id79,n_id4409,20 mph,None
l_6,n_id4409,n_id5619,20 mph,None
l_7,n_id5619,n_id2639,20 mph,None
l_8,n_id2639,n_id4130,20 mph,None
l_9,n_id4130,n_id5618,20 mph,None
l_10,n_id5618,n_id252,20 mph,None
l_11,n_id252,n_id8700,20 mph,None
l_12,n_id8700,n_id4279,20 mph,None
l_13,n_id4279,n_id5586,20 mph,None
l_14,n_id5586,n_id251,20 mph,None
l_15,n_id249,n_id1168,20 mph,None
l_16,n_id1168,n_id4371,20 mph,None
l_17,n_id4371,n_id4380,20 mph,None
l_18,n_id4380,n_id4378,20 mph,None
l_19,n_id4378,n_id1159,20 mph,None
l_20,n_id1159,n_id1160,20 mph,None
l_21,n_id1160,n_id327,20 mph,None
l_22,n_id327,n_id4037,20 mph,None
l_23,n_id4037,n_id4385,20 mph,None
l_24,n_id4385,n_id4349,20 mph,None
l_25,n_id4349,n_id2471,20 mph,None
l_26,n_id2471,n_id5637,20 mph,None
l_27,n_id5637,n_id4354,20 mph,None
l_28,n_id4354,n_id328,20 mph,None
l_29,n_id1158,n_id7469,20 mph,None
l_30,n_id7469,n_id1167,20 mph,None
l_31,n_id35,n_id3433,20 mph,None
l_32,n_id3433,n_id2209,20 mph,None
l_33,n_id2209,n_id36,20 mph,None
l_34,n_id36,n_id2679,20 mph,None
l_35,n_id321,n_id9813,20 mph,None
l_36,n_id9813,n_id497,20 mph,None
l_37,n_id497,n_id316,20 mph,None
l_38,n_id316,n_id495,20 mph,None
l_39,n_id495,n_id496,20 mph,None
l_40,n_id496,n_id315,20 mph,None
l_41,n_id7953,n_id1476,20 mph,None
l_42,n_id1476,n_id8692,20 mph,None
l_43,n_id8692,n_id711,20 mph,None
l_44,n_id711,n_id6014,20 mph,None
l_45,n_id6014,n_id707,20 mph,None
l_46,n_id707,n_id706,20 mph,None
l_47,n_id706,n_id2362,20 mph,None
l_48,n_id2362,n_id9404,20 mph,None
l_49,n_id9404,n_id322,20 mph,None
l_50,n_id322,n_id2754,20 mph,None
l_51,n_id2754,n_id1463,20 mph,None
l_52,n_id1463,n_id319,20 mph,None
l_53,n_id223,n_id2933,20 mph,None
l_54,n_id2933,n_id8131,20 mph,None
l_55,n_id8131,n_id456,20 mph,None
l_56,n_id456,n_id2866,20 mph,None
l_57,n_id2866,n_id4595,20 mph,None
l_58,n_id4595,n_id6689,20 mph,None
l_59,n_id6689,n_id457,20 mph,None
l_60,n_id457,n_id1219,20 mph,None
l_61,n_id1219,n_id458,20 mph,None
l_62,n_id458,n_id1220,20 mph,None
l_63,n_id1220,n_id4594,20 mph,None
l_64,n_id4594,n_id460,20 mph,None
l_65,n_id460,n_id459,20 mph,None
l_66,n_id2945,n_id88,70 mph,None
l_67,n_id88,n_id4295,70 mph,None
l_68,n_id4295,n_id4302,70 mph,None
l_69,n_id4302,n_id1679,70 mph,None
l_70,n_id1679,n_id4304,70 mph,None
l_71,n_id4304,n_id4300,70 mph,None
l_72,n_id4300,n_id1681,70 mph,None
l_73,n_id1681,n_id5738,70 mph,None
l_74,n_id5738,n_id4316,70 mph,None
l_75,n_id4316,n_id89,70 mph,None
