id,xpos,ypos,stoppoint
n_id0,0.530362623,0.091677238,-1
n_id1,0.263351279,0.299304416,-1
n_id2,0.237741516,0.390251189,-1
n_id3,0.243422154,0.454230204,-1
n_id4,0.237263084,0.476996617,-1
n_id5,0.154243858,0.636755673,-1
n_id6,0.141778509,0.712048289,-1
n_id7,0.163535885,0.791079258,-1
n_id8,0.206436869,0.851822017,-1
n_id9,0.333341248,0.950347166,-1
n_id10,0.895984377,0.308375005,-1
n_id11,0.885507547,0.306272768,-1
n_id12,0.875326325,0.305270139,-1
n_id13,0.86073593,0.306959437,-1
n_id14,0.875017659,0.279821185,-1
n_id15,0.883282779,0.268363681,-1
n_id16,0.890614779,0.2578916,-1
n_id17,0.898288686,0.246861113,-1
n_id18,0.805990491,0.338974753,-1
n_id19,0.733984697,0.339806888,-1
n_id20,0.720262128,0.337401203,-1
n_id21,0.700208349,0.333387558,-1
n_id22,0.704650762,0.321601579,-1
n_id23,0.710080906,0.298381559,-1
n_id24,0.712965744,0.279384783,-1
n_id25,0.713704168,0.256817019,-1
n_id26,0.717257386,0.22539765,-1
n_id27,0.719140247,0.211370224,-1
n_id28,0.614247301,0.357517921,-1
n_id29,0.583583729,0.35065124,-1
n_id30,0.684179097,0.276983791,-1
n_id31,0.680431182,0.266996601,-1
n_id32,0.697435106,0.257258114,-1
n_id33,0.807768881,0.370112573,-1
n_id34,0.801765331,0.376306664,-1
n_id35,0.728327803,0.182267381,-1
n_id36,0.733173856,0.171513751,-1
n_id37,0.742567981,0.153058176,-1
n_id38,0.752407296,0.136033811,-1
n_id39,0.533165546,0.093768526,-1
n_id40,0.435237762,0.171665475,-1
n_id41,0.378877762,0.216505375,-1
n_id42,0.375245003,0.215269685,-1
n_id43,0.245219539,0.323073458,-1
n_id44,0.246476758,0.323731971,-1
n_id45,0.262078627,0.2986897,-1
n_id46,0.239582826,0.389394027,-1
n_id47,0.055462494,0.354248818,-1
n_id48,0.083707788,0.362588942,-1
n_id49,0.141057893,0.372849861,-1
n_id50,0.141700155,0.371290389,-1
n_id51,0.088215496,0.361677034,-1
n_id52,0.05981112,0.354283229,-1
n_id53,0.043291565,0.346104214,-1
n_id54,0.315461188,0.255162133,-1
n_id55,0.316653113,0.255998961,-1
n_id56,0.210157479,0.400327536,-1
n_id57,0.220743528,0.400679473,-1
n_id58,0.229114307,0.399800413,-1
n_id59,0.232050194,0.403394862,-1
n_id60,0.253484659,0.392270525,-1
n_id61,0.246070744,0.450754631,-1
n_id62,0.250332706,0.401000127,-1
n_id63,0.251612482,0.393487445,-1
n_id64,0.249818659,0.390875291,-1
n_id65,0.22936955,0.392954065,-1
n_id66,0.216354538,0.399073076,-1
n_id67,0.20987968,0.39856003,-1
n_id68,0.239161379,0.477456481,-1
n_id69,0.264604937,0.390330962,-1
n_id70,0.265643717,0.391358618,-1
n_id71,0.27167101,0.382137869,-1
n_id72,0.272754902,0.382924643,-1
n_id73,0.273906462,0.35532027,-1
n_id74,0.275851057,0.355575229,-1
n_id75,0.286674542,0.354738401,-1
n_id76,0.340372892,0.350253942,-1
n_id77,0.426236592,0.341809019,-1
n_id78,0.452483869,0.3394659,-1
n_id79,0.48250043,0.339989895,-1
n_id80,0.508257404,0.341588471,-1
n_id81,0.186133783,0.577193858,-1
n_id82,0.156040055,0.637312515,-1
n_id83,0.143958164,0.675582925,-1
n_id84,0.146317083,0.675157472,-1
n_id85,0.14387981,0.711679146,-1
n_id86,0.15176266,0.768048502,-1
n_id87,0.154577454,0.769302961,-1
n_id88,0.161571109,0.791737771,-1
n_id89,0.204999199,0.853508186,-1
n_id90,0.24694688,0.888628369,-1
n_id91,0.248350122,0.887428655,-1
n_id92,0.304295797,0.928175136,-1
n_id93,0.305465165,0.926706386,-1
n_id94,0.331791983,0.951665757,-1
n_id95,0.374659726,0.90971174,-1
n_id96,0.346488036,0.923843965,-1
n_id97,0.333981136,0.927846662,-1
n_id98,0.29866502,0.940821405,-1
n_id99,0.265300623,0.948956624,-1
n_id100,0.217685363,0.959061126,-1
n_id101,0.172147661,0.968982621,-1
n_id102,0.130455223,0.975904048,-1
n_id103,0.082513489,0.975958794,-1
n_id104,0.041331537,0.974460324,-1
n_id105,0.401392558,0.937588278,-1
n_id106,0.399489514,0.93700328,-1
n_id107,0.412151935,0.917928296,-1
n_id108,1,0.71995514,-1
n_id109,0.989162269,0.730090925,-1
n_id110,0.950243074,0.747457842,-1
n_id111,0.958592484,0.746941668,-1
n_id112,0.801222791,0.827935663,-1
n_id113,0.804283331,0.830876292,-1
n_id114,0.746663738,0.86473263,-1
n_id115,0.744948269,0.862810272,-1
n_id116,0.680830074,0.893201985,-1
n_id117,0.681244398,0.894580014,-1
n_id118,0.634834122,0.899335074,-1
n_id119,0.562165884,0.899380434,-1
n_id120,0.544512575,0.901867456,-1
n_id121,0.545624959,0.898402832,-1
n_id122,0.445512771,0.897788115,-1
n_id123,0.432324431,0.900422168,-1
n_id124,0.425517164,0.895165012,-1
n_id125,0.433326408,0.895854808,-1
n_id126,0.422570592,0.899050396,-1
n_id127,0.422621641,0.901069732,-1
n_id128,0.427084236,0.902549432,-1
n_id129,0.434908914,0.889415143,-1
n_id130,0.449472003,0.86936412,-1
n_id131,0.461532526,0.851959663,-1
n_id132,0.464317641,0.848771896,-1
n_id133,0.481181478,0.834503589,-1
n_id134,0.488410193,0.829465416,-1
n_id135,0.502773837,0.818754018,-1
n_id136,0.516790826,0.799244196,-1
n_id137,0.534527237,0.758141084,-1
n_id138,0.543006049,0.744500007,-1
n_id139,0.555990194,0.724840025,-1
n_id140,0.562093466,0.714824681,-1
n_id141,0.57262728,0.697345144,-1
n_id142,0.576429805,0.691227697,-1
n_id143,0.584002802,0.674961952,-1
n_id144,0.587797017,0.663080559,-1
n_id145,0.589633578,0.647348194,-1
n_id146,0.590584506,0.638961145,-1
n_id147,0.602101302,0.601228808,-1
n_id148,0.604724961,0.586628897,-1
n_id149,0.607095752,0.568409511,-1
n_id150,0.611101284,0.552889872,-1
n_id151,0.615985327,0.534883212,-1
n_id152,0.636915242,0.492172139,-1
n_id153,0.619445945,0.48413077,-1
n_id154,0.59186072,0.467295669,-1
n_id155,0.611349404,0.448081474,-1
n_id156,0.627134097,0.433032649,-1
n_id157,0.630069984,0.425437067,-1
n_id158,0.632217586,0.413435233,-1
n_id159,0.699380888,0.889178954,-1
n_id160,0.718483739,0.880885755,-1
n_id161,0.738638428,0.869396968,-1
n_id162,0.698717256,0.887718025,-1
n_id163,0.717747689,0.879498341,-1
n_id164,0.725573554,0.875081141,-1
n_id165,0.299742976,0.245788096,-1
n_id166,0.315500365,0.225263132,-1
n_id167,0.319215039,0.249664096,-1
n_id168,0.300359121,0.26450958,-1
n_id169,0.272310898,0.286379726,-1
n_id170,0.267073077,0.291724476,-1
